,category,Label,Category
225,Car Polishing Services in Yangon,90,Automotive
226,Car Radiator Repair in Yangon,39,Automotive
227,Car Security Systems & Equipment in Yangon,27,Automotive
228,Car Servicing Equipment in Yangon,27,Automotive
229,Car Servicing Training Centres in Yangon,93,Automotive
230,Car Servicings in Yangon,93,Automotive
231,Car Shock Absorbers & Leaf Springs Sales & Repair in Yangon,93,Automotive
232,Car Spare Parts & Accessories in Yangon,93,Automotive
233,Car Steering Equipment Sales & Repair in Yangon,27,Automotive
234,Car Tyres & Tubes Repair in Yangon,63,Automotive
235,Car Tyres Retreading Services in Yangon,94,Automotive
236,Car Wheel Alignment in Yangon,24,Automotive
237,Car Wheels/Tyres & Tubes Dealers in Yangon,40,Automotive
238,Car Windshields & Mirrors in Yangon,40,Automotive
239,Car Wiring in Yangon,40,Automotive
240,Car Workshops [OBD II System] in Yangon,47,Automotive
241,Car Workshops in Yangon,47,Automotive
242,Cards [Identity & Others] in Yangon,39,Service
243,Carpets/Canvas/Mats & Linoleum in Yangon,44,Home
244,Carrom Boards [Lat Tauk Khoun] in Yangon,18,Entertainment
245,Cashew Nuts in Yangon,27,Food
246,Catering Equipment Hires in Yangon,44,Equipment & Supplies
247,Catering Services in Yangon,44,Service
248,Catering Training Centres in Yangon,44,Education
249,CD/VCD/DVD & Tape Sales in Yangon,44,Media
250,Ceiling Materials in Yangon,44,Home
251,Cement in Yangon,55,Construction
252,Cemeteries in Yangon,39,Service
253,Ceramic Wares in Yangon,8,Equipment & Supplies
254,Chain Block Sales & Repair in Yangon,22,Sales & Repair
255,Chalks in Yangon,40,Equipment & Supplies
256,Charcoal Stoves in Yangon,22,Home
257,Charcoal/Charcoal Briquette & Firewood in Yangon,7,Miscellaneous
258,Charities in Yangon,42,Organization
259,Chemicals in Yangon,39,Chemical
260,Cheroots [Manu/Dist] in Yangon,42,Manufacturing
261,Children's & Infants' Wears in Yangon,12,Apparel
262,Chilli Sauces [Manu] in Yangon,21,Apparel
263,Chillies & Chilli Products in Yangon,21,Food
264,Chinese Medical Halls in Yangon,21,Health & Medicine
265,Chinese Temples in Yangon,21,Religion
266,Chopsticks [Manu] in Yangon,21,Equipment & Supplies
267,Churches in Yangon,21,Religion
268,Cigarettes [Manu/Dist] in Yangon,8,Merchant
269,Cinema Halls in Yangon,39,Entertainment
270,Civil Engineers in Yangon,88,Service
271,Clay Pots & Others in Yangon,90,Equipment & Supplies
272,Cleaning & Maintenance Services in Yangon,28,Service
273,Cleaning Equipment in Yangon,94,Equipment & Supplies
274,Clinics [Charity] in Yangon,94,Health & Medicine
275,Clinics [Plastic Surgery/Skin Beauty] in Yangon,94,Health & Medicine
276,Clinics [Private] in Yangon,8,Health & Medicine
277,Clinics [Special] in Yangon,19,Health & Medicine
278,Clocks & Watches Repair in Yangon,15,Sales & Repair
279,Clocks & Watches Sales in Yangon,54,Sales & Repair
280,Coconut Oil in Yangon,54,Food
281,Coconuts & Bananas in Yangon,88,Food
282,Coffee [Manu/Dist] in Yangon,48,Food
283,Coffee Makers in Yangon,22,Home
284,Coffee Mix Dealers in Yangon,22,Food
285,Cold Drinks in Yangon,12,Food
286,Cold Storages in Yangon,74,Food
287,Colour Separation [Film/Plate] in Yangon,58,Service
288,Communication Equipment in Yangon,28,Equipment & Supplies
289,Company Registration Services in Yangon,22,Computer & Electronics
290,Computer Maintenance & Repair in Yangon,77,Computer & Electronics
291,Computer Network Solution Services & Providers in Yangon,19,Computer & Electronics
292,Computer Software Dealers in Yangon,6,Computer & Electronics
293,Computer Software Services in Yangon,6,Computer & Electronics
294,Computer Training Centres in Yangon,24,Computer & Electronics
295,Computerized 3D Prototyping in Yangon,93,Computer & Electronics
296,Computers & Accessories in Yangon,93,Computer & Electronics
297,Concrete Mixing in Yangon,22,Construction
298,Concrete Products in Yangon,28,Construction
299,Concreting Equipment in Yangon,22,Equipment & Supplies
300,Condensed Milk in Yangon,49,Food
301,Confectioneries in Yangon,49,Food
302,Confectionery Manufacturers in Yangon,49,Food
303,Construction & Contractor Equipment & Supplies in Yangon,76,Construction
